vaderLabel;text
Positive;@SNMilitary Welcome Rusia to bali on G20, 🇮🇩  waiting  🇷🇺
Positive;@Levi_godman Why that would be the greatest troll? Rusia is member of G20. If western member wants to walk out then they free to do so.
Neutral;"RT @Trystanto2: My take on why Russia AND Ukraine must be invited to the G20 (plus my rebuttal on the ""G20 is an economic forum, not a poli…"
Negative;RT @zismo64: @PalmerReport Isn't there a $1 million dollar bounty on Putin's head by a Russian Oligarch? I doubt Putin will expose himself…
Negative;RT @covie_93: Why the hell was putin invited to the G20???
Positive;RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…
Negative;RT @covie_93: Why the hell was putin invited to the G20???
Negative;"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…"
Negative;RT @covie_93: Why the hell was putin invited to the G20???
Positive;RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…
Negative;"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…"
Negative;"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…"
Negative;RT @ForceOfGaia: @B52Malmet I just read that Putin has been invited to the G20 in Nov. This is infuriating! What happened to Putin being an…
Negative;RT @covie_93: Why the hell was putin invited to the G20???
Positive;RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…
Neutral;RT @MusicReviewer7: @PalmerReport Could Putin possible to detained/arrested and sent to the Hague from the G20?
Negative;RT @kdnerak33: If Putin actually attends this year’s G20 summit, he should immediately be arrested as a war criminal.
Positive;RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…
Negative;RT @covie_93: Why the hell was putin invited to the G20???
Neutral;RT @DoctorHenryCT: Let Putin show up at the G20. Maybe someone will offer him a Navalny cocktail.
Negative;"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…"
Negative;RT @covie_93: Why the hell was putin invited to the G20???
Negative;RT @covie_93: Why the hell was putin invited to the G20???
Negative;RT @Out5p0ken: Putin received an invite to the G20 Summit, and accepts. Wtf.
Negative;"RT @PalmerReport: Now if the U.S. or the G20 determines that it’s not *safe* to let Putin attend, that’s 100% different.

But “shouldn’t be…"
Positive;RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…
Positive;RT @NataliusPigai2: Indonesia is becoming an increasingly uncredible country in the eyes of the world because @jokowi ignores the values ​​…
Neutral;RT @AaronParnas: Vladimir Putin should not be allowed at this year's G20 summit.
Negative;RT @ForceOfGaia: @B52Malmet I just read that Putin has been invited to the G20 in Nov. This is infuriating! What happened to Putin being an…
Neutral;RT @AaronParnas: Vladimir Putin should not be allowed at this year's G20 summit.
Negative;"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…"
Neutral;RT @CromwellStuff: “Vladimir Putin is attending the G20 summit”, that’s an msm statement! Wind back to 1940 and imagine a meeting of world…
Neutral;RT @AaronParnas: Vladimir Putin should not be allowed at this year's G20 summit.
Negative;"RT @PalmerReport: Now if the U.S. or the G20 determines that it’s not *safe* to let Putin attend, that’s 100% different.

But “shouldn’t be…"
Positive;RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…
